orderId,paymentMethodId,transactionAmount,transactionFailed,transactionId,paymentMethodIssuer,paymentMethodProvider,paymentMethodRegistrationFailure,paymentMethodType,orderAmount,orderShippingAddress,orderState,fraudulent,customerBillingAddress,customerDevice,customerEmail,customerIPAddress,customerPhone
vjbdvd,wt07xm68b,18,False,a9lcj51r,Citizens First Banks,JCB 16 digit,True,card,18,"5493 Jones Islands
Brownside, CA 51896",pending,False,"5493 Jones Islands
Brownside, CA 51896",yyeiaxpltf82440jnb3v,josephhoward@yahoo.com,8.129.104.40,400-108-5415
yp6x27,wt07xm68b,26,False,y4wcv03i,Citizens First Banks,JCB 16 digit,True,card,26,"5493 Jones Islands
Brownside, CA 51896",fulfilled,False,"5493 Jones Islands
Brownside, CA 51896",yyeiaxpltf82440jnb3v,josephhoward@yahoo.com,8.129.104.40,400-108-5415
nlghpa,41ug157xz,45,False,5mi94sfw,Bastion Banks,American Express,False,bitcoin,45,"898 Henry Ports
New Keithview, CA 95893-2497",fulfilled,True,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546
uw0eeb,41ug157xz,23,False,br8ba1nu,Bastion Banks,American Express,False,bitcoin,23,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",fulfilled,True,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546
bn44oh,y3xp697jx,43,True,a33145ss,Solace Banks,VISA 16 digit,True,bitcoin,43,"5093 Bryan Forks
Joshuaton, FM 01565-9801",fulfilled,True,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546
yk34y2,8pneoi03z,33,False,q3lyvbza,Bastion Banks,JCB 16 digit,False,card,33,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",failed,False,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375
28v6b0,8pneoi03z,24,True,3alf9irw,Bastion Banks,JCB 16 digit,False,card,24,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled,False,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375
28v6b0,8pneoi03z,24,False,69w9wymx,Bastion Banks,JCB 16 digit,False,card,24,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled,False,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375
itnk8y,8pneoi03z,25,False,uo3slwh7,Bastion Banks,JCB 16 digit,False,card,25,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled,False,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375
itnk8y,dluy3jka0,25,True,pegqc4ud,His Majesty Bank Corp.,Discover,False,card,25,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled,False,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375
fbz9ep,pdxjdwui4,34,False,vx4cjc27,Grand Credit Corporation,Voyager,False,card,34,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,False,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985
7odnn6,pdxjdwui4,26,False,yiay9b0n,Grand Credit Corporation,Voyager,False,card,26,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,False,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985
